WindDir,id
81.01932,1
141.0386,2
96.35146,3
101.6905,4
285.4698,5
0.09610835,6
282.1969,7
80.81125,8
38.97192,9
116.0106,10
311.7453,11
256.0229,12
44.79277,13
77.00826,14
76.86437,15
113.8067,16
84.63206,17
114.8255,18
45.51447,19
88.98291,20
61.81416,21
52.87116,22
226.7001,23
84.76814,24
67.65912,25
63.29509,26
58.112,27
278.2821,28
338.3258,29
314.7308,30
4.827984,31
87.23851,32
93.4433,33
328.8827,34
295.4367,35
96.33521,36
304.2316,37
277.3876,38
290.5303,39
301.5639,40
340.8962,41
58.89042,42
282.5557,43
98.23881,44
89.21961,45
45.69302,46
329.3175,47
312.3333,48
354.4163,49
343.1029,50
66.23942,51
66.67368,52
141.952,53
17.0163,54
281.9081,55
68.7407,56
157.1242,57
72.81594,58
301.0708,59
1.250671,60
73.16304,61
281.2139,62
63.41221,63
32.55669,64
322.2515,65
40.11475,66
37.05579,67
70.51927,68
45.71495,69
45.74529,70
6.898105,71
293.3559,72
3.509141,73
155.9855,74
48.50305,75
132.0254,76
321.6724,77
26.59798,78
179.5784,79
76.52808,80
48.91161,81
99.11594,82
50.13742,83
58.01484,84
60.45214,85
46.72438,86
49.89707,87
19.46851,88
39.87439,89
134.3796,90
101.3137,91
131.1609,92
93.52866,93
90.16228,94
47.26922,95
